id_bairro;desc_bairro
1004;DOS MUNICIPIOS
1005;DOS PIMENTAS
1006;DOS PINTOS
1007;DOUTOR AYUB
1008;DOUTOR LUND
1009;DOUTOR SILVIO BOTELHO
1010;DT CAMARA
1011;DUAS PONTES
1012;DURVAL DE BARROS
1013;DUTRA
1014;EDSON MORORO MOURA
1015;EDSON QUEIROZ
1016;EDUCANDOS
1017;EFAPI
1018;EGISTO RAGAZZO
1019;EIXO MONUMENTAL
1020;ELDORADO
1021;ELEUTERIO
1022;EMAUS
1023;EMBARE
1024;EMBRATEL
1025;EMBURA
1026;EMERENCIO
1027;EMPRESA
1028;ENCANTADO
1029;ENCRUZILHADA
1030;ENGENHEIRO JOFRE PARADA
1031;ENGENHEIRO PEDREIRA
1032;ENGENHEIRO VERAS
1033;ENGENHO NOGUEIRA
1034;ENGENHO PEQUENO
1035;ENGENHO VELHO DA FEDERACAO
1036;ENGENHO VELHO DE BROTAS
1037;ENGOMADEIRA
1038;ENSEADA DAS GARCAS
1039;ENSEADA DO SUA
1040;ERLAN
1041;ERMELINDA
1042;ERNANI SATIRO
1043;ERNESTO GEISEL
1044;ERVAL VELHO
1045;ESPERANCA
1046;ESPIGAO D OESTE
1047;ESPIGAO DO BUGRE
1048;ESPINHEIRO
1049;ESPINHEIROS
1050;ESPIRITO SANTO
1051;ESPLANADA
1052;ESPLANADA DOS BARREIROS
1053;ESPLANADA PRIMO MENEGHETI
